Time_s,Output
1.914419695,-0.000384243
1.915005862,-0.000359825
1.915592028,-0.000322949
1.916178195,-0.000274201
1.916764361,-0.000215144
1.917350528,-0.00014802
1.917936694,-7.54E-05
1.91852286,2.07E-07
1.919109027,7.66E-05
1.919695193,0.000152063
1.92028136,0.000225751
1.920867526,0.000297432
1.921453693,0.000367489
1.922039859,0.000436581
1.922626026,0.000505253
1.923212192,0.000573599
1.923798359,0.000641097
1.924384525,0.000706659
1.924970692,0.000768826
1.925556858,0.000826012
1.926143025,0.000876729
1.926729191,0.000919811
1.927315358,0.000954642
1.927901524,0.000981353
1.928487691,0.001000887
1.929073857,0.001014868
1.929660023,0.001025271
1.93024619,0.001034042
1.930832356,0.001042767
1.931418523,0.001052497
1.932004689,0.001063708
1.932590856,0.001076355
1.933177022,0.001089993
1.933763189,0.001103981
1.934349355,0.001117732
1.934935522,0.001130956
1.935521688,0.001143802
1.936107855,0.001156842
1.936694021,0.001170928
1.937280188,0.001186975
1.937866354,0.001205765
1.938452521,0.001227767
1.939038687,0.001252962
1.939624853,0.001280719
1.94021102,0.00130977
1.940797186,0.001338353
1.941383353,0.00136452
1.941969519,0.001386514
1.942555686,0.001403088
1.943141852,0.001413715
1.943728019,0.001418685
1.944314185,0.00141909
1.944900352,0.001416712
1.945486518,0.001413782
1.946072685,0.001412615
1.946658851,0.001415194
1.947245018,0.001422815
1.947831184,0.001435883
1.948417351,0.001453904
1.949003517,0.001475646
1.949589683,0.00149942
1.95017585,0.00152344
1.950762016,0.001546195
1.951348183,0.001566779
1.951934349,0.001585075
1.952520516,0.001601738
1.953106682,0.001617989
1.953692849,0.001635285
1.954279015,0.001654951
1.954865182,0.001677846
1.955451348,0.001704082
1.956037515,0.001732858
1.956623681,0.001762453
1.957209848,0.001790451
1.957796014,0.001814168
1.958382181,0.001831182
1.958968347,0.001839816
1.959554513,0.001839461
1.96014068,0.001830727
1.960726846,0.001815425
1.961313013,0.001796416
1.961899179,0.001777285
1.962485346,0.001761844
1.963071512,0.001753516
1.963657679,0.001754767
1.964243845,0.00176674
1.964830012,0.001789177
1.965416178,0.001820598
1.966002345,0.001858621
1.966588511,0.001900351
1.967174678,0.001942789
1.967760844,0.001983234
1.968347011,0.002019636
1.968933177,0.00205079
1.969519343,0.002076315
1.97010551,0.002096403
1.970691676,0.002111453
1.971277843,0.0021217
1.971864009,0.002126948
1.972450176,0.002126421
1.973036342,0.002118755
1.973622509,0.002102141
1.974208675,0.002074624
1.974794842,0.002034539
1.975381008,0.001980986
1.975967175,0.001914197
1.976553341,0.001835732
1.977139508,0.001748452
1.977725674,0.001656307
1.978311841,0.001563965
1.978898007,0.001476315
1.979484174,0.001397858
1.98007034,0.0013321
1.980656506,0.001281069
1.981242673,0.001245085
1.981828839,0.001222829
1.982415006,0.001211671
1.983001172,0.001208141
1.983587339,0.001208475
1.984173505,0.001209164
1.984759672,0.001207467
1.985345838,0.001201801
1.985932005,0.001191921
1.986518171,0.001178853
1.987104338,0.001164566
1.987690504,0.001151509
1.988276671,0.001142075
1.988862837,0.00113812
1.989449004,0.001140585
1.99003517,0.001149288
1.990621336,0.001162945
1.991207503,0.001179421
1.991793669,0.00119615
1.992379836,0.001210621
1.992966002,0.001220789
1.993552169,0.001225357
1.994138335,0.001223897
1.994724502,0.001216837
1.995310668,0.00120529
1.995896835,0.001190748
1.996483001,0.001174647
1.997069168,0.001157931
1.997655334,0.001140734
1.998241501,0.001122304
1.998827667,0.001101163
1.999413834,0.001075417
2,0.001043099
2.000586166,0.001002509
2.001172333,0.000952523
2.001758499,0.000892901
2.002344666,0.000824469
2.002930832,0.000749118
2.003516999,0.00066954
